rank,player_name,team,position,adp,avg_round,date_scraped
169,Trevor Lawrence,Jax,164.3,1.2,0.7,2025-08-20
170,Marvin Mims Jr.,Den,164.4,0.4,0.4,2025-08-20
171,Hollywood Brown,KC,164.5,0.7,0.4,2025-08-20
172,Jaylen Wright,Mia,164.9,3.6,0.5,2025-08-20
173,Tyler Loop,Bal,165.4,-1.4,0.5,2025-08-20
174,Matt Gay,Wsh,165.5,-0.9,0.4,2025-08-20
175,Colts D/ST,Ind,165.7,-1.5,0.4,2025-08-20
176,Jacory Croskey-Merritt,Wsh,165.8,4.2,0.4,2025-08-20
177,Michael Penix Jr.,Atl,166.3,0.2,0.5,2025-08-20
178,Ka'imi Fairbairn,Hou,166.4,-1.2,0.3,2025-08-20
179,Rashod Bateman,Bal,166.5,0.0,0.2,2025-08-20
180,Chiefs D/ST,KC,166.6,-1.0,0.2,2025-08-20
181,Cairo Santos,Chi,166.6,-1.3,0.4,2025-08-20
182,Giants D/ST,NYG,166.7,-0.3,0.2,2025-08-20
183,49ers D/ST,SF,166.8,-0.7,0.2,2025-08-20
184,Jonnu Smith,Pit,166.8,-2.5,0.2,2025-08-20
185,Wan'Dale Robinson,NYG,167.0,0.7,0.2,2025-08-20
186,Jets D/ST,NYJ,167.2,-1.5,0.3,2025-08-20
187,Christian Kirk,Hou,167.3,2.4,0.2,2025-08-20
188,Isaac Guerendo,SF,167.4,0.4,0.4,2025-08-20
189,Bryce Young,Car,167.4,-0.7,0.4,2025-08-20
190,Luther Burden III,Chi,167.4,-0.4,0.2,2025-08-20
191,Chig Okonkwo,Ten,167.5,0.1,0.1,2025-08-20
192,Evan McPherson,Cin,167.6,-0.8,0.2,2025-08-20
193,Younghoe Koo,Atl,167.8,-0.5,0.2,2025-08-20
194,Shedeur Sanders,Cle,167.9,-1.3,0.3,2025-08-20
195,Aaron Rodgers,Pit,168.3,-0.1,0.2,2025-08-20
196,Packers D/ST,GB,168.3,-0.8,0.1,2025-08-20
197,Cowboys D/ST,Dal,168.4,-0.6,0.1,2025-08-20
198,Pat Freiermuth,Pit,168.4,-0.1,0.1,2025-08-20
199,Isaiah Likely,Bal,168.5,-0.7,0.1,2025-08-20
200,Buccaneers D/ST,TB,168.5,-0.8,0.1,2025-08-20
251,Zamir White,LV,169.8,0.1,0.0,2025-08-20
252,Jaguars D/ST,Jax,169.8,-0.1,0.0,2025-08-20
253,Luke McCaffrey,Wsh,169.8,0.0,0.0,2025-08-20
254,Anthony Richardson Sr.,Ind,169.8,-0.3,0.2,2025-08-20
255,Tank Dell,Hou,169.8,-0.1,0.0,2025-08-20
256,Darnell Washington,Pit,169.8,0.0,0.0,2025-08-20
257,Mike Gesicki,Cin,169.8,-0.3,0.0,2025-08-20
258,Caden Davis,Buf,169.9,0.0,0.0,2025-08-20
259,Scott Matlock,LAC,169.9,0.0,0.0,2025-08-20
260,Deshaun Watson,Cle,169.9,-0.1,0.0,2025-08-20
261,Odell Beckham Jr.,FA,169.9,0.0,0.0,2025-08-20
262,Tyler Higbee,LAR,169.9,-0.2,0.0,2025-08-20
263,JuJu Smith-Schuster,KC,169.9,0.0,0.0,2025-08-20
264,Isaiah Bond,Cle,169.9,0.0,0.0,2025-08-20
265,J.J. Taylor,FA,169.9,0.0,0.0,2025-08-20
266,Luke Musgrave,GB,169.9,0.0,0.0,2025-08-20
267,John Samuel Shenker,FA,169.9,0.0,0.0,2025-08-20
268,Jordan Travis,FA,169.9,-0.1,0.0,2025-08-20
269,Jimmy Horn Jr.,Car,169.9,-0.1,0.0,2025-08-20
270,Tory Horton,Sea,169.9,0.0,0.0,2025-08-20
271,Jameis Winston,NYG,169.9,0.0,0.0,2025-08-20
272,Jake Bobo,Sea,169.9,0.0,0.0,2025-08-20
273,Matt Barkley,FA,169.9,0.0,0.0,2025-08-20
274,Chad Ryland,Ari,169.9,0.0,0.0,2025-08-20
275,Dolphins D/ST,Mia,169.9,-0.1,0.0,2025-08-20
276,Mason Crosby,FA,169.9,0.0,0.0,2025-08-20
277,Troy Franklin,Den,169.9,0.0,0.0,2025-08-20
278,Mitchell Evans,Car,169.9,0.0,0.0,2025-08-20
279,DeWayne McBride,FA,169.9,0.0,0.0,2025-08-20
280,Equanimeous St. Brown,SF,169.9,0.0,0.0,2025-08-20
281,Brock Wright,Det,169.9,0.0,0.0,2025-08-20
282,Mason Rudolph,Pit,169.9,0.0,0.0,2025-08-20
283,Joshua Dobbs,NE,169.9,0.0,0.0,2025-08-20
284,Austin Hooper,NE,169.9,0.0,0.0,2025-08-20
285,Michael Pratt,TB,169.9,0.1,0.0,2025-08-20
286,Jude McAtamney,NYG,169.9,0.0,0.0,2025-08-20
287,Tim Patrick,Det,169.9,0.0,0.0,2025-08-20
288,Elijah Moore,Buf,169.9,0.0,0.0,2025-08-20
289,Tanner McKee,Phi,169.9,0.0,0.0,2025-08-20
290,Roman Wilson,Pit,169.9,0.0,0.0,2025-08-20
291,Ja'Tavion Sanders,Car,169.9,-0.1,0.0,2025-08-20
292,Joey Slye,Ten,169.9,0.0,0.0,2025-08-20
293,Jimmy Garoppolo,LAR,169.9,0.0,0.0,2025-08-20
294,Josh Oliver,Min,169.9,0.0,0.0,2025-08-20
295,Braxton Berrios,Hou,169.9,0.0,0.0,2025-08-20
296,Jalin Hyatt,NYG,169.9,0.0,0.0,2025-08-20
297,Tommy DeVito,NYG,169.9,0.0,0.0,2025-08-20
298,Harold Fannin Jr.,Cle,169.9,0.0,0.0,2025-08-20
299,Julian Hill,Mia,169.9,0.0,0.0,2025-08-20
300,Ezekiel Elliott,FA,169.9,0.0,0.0,2025-08-20
351,Sam Howell,Min,169.9,0.0,0.0,2025-08-20
352,John Metchie III,Phi,169.9,0.0,0.0,2025-08-20
353,Randy Bullock,FA,170.0,0.0,0.0,2025-08-20
354,Raheem Blackshear,Car,170.0,0.0,0.0,2025-08-20
355,David Moore,Car,170.0,0.0,0.0,2025-08-20
356,John Ross,FA,170.0,0.0,0.0,2025-08-20
357,Curtis Samuel,Buf,170.0,0.0,0.0,2025-08-20
358,Julius Chestnut,Ten,170.0,0.0,0.0,2025-08-20
359,Lil'Jordan Humphrey,NYG,170.0,0.0,0.0,2025-08-20
360,Will Levis,Ten,170.0,0.0,0.0,2025-08-20
361,Tyler Conklin,LAC,170.0,0.1,0.0,2025-08-20
362,Spencer Shrader,Ind,170.0,0.0,0.0,2025-08-20
363,Mitchell Tinsley,Cin,170.0,0.0,0.0,2025-08-20
364,Tai Felton,Min,170.0,0.0,0.0,2025-08-20
365,Teddy Bridgewater,TB,170.0,0.0,0.0,2025-08-20
366,Tylan Wallace,Bal,170.0,0.0,0.0,2025-08-20
367,Zane Gonzalez,FA,170.0,0.0,0.0,2025-08-20
368,Dallin Holker,FA,170.0,0.0,0.0,2025-08-20
369,Derek Carr,NO,170.0,0.0,0.0,2025-08-20
370,Michael Badgley,FA,170.0,0.0,0.0,2025-08-20
371,Julio Jones,FA,170.0,0.0,0.0,2025-08-20
372,Terrance Ferguson,LAR,170.0,-0.1,0.0,2025-08-20
373,Greg Joseph,FA,170.0,0.0,0.0,2025-08-20
374,Patrick Ricard,Bal,170.0,0.0,0.0,2025-08-20
375,Audric Estime,Den,170.0,0.0,0.0,2025-08-20
376,Devontez Walker,Bal,170.0,0.0,0.0,2025-08-20
377,Jermaine Jackson,FA,170.0,0.0,0.0,2025-08-20
378,Dontayvion Wicks,GB,170.0,0.0,0.0,2025-08-20
379,Ainias Smith,Phi,170.0,0.0,0.0,2025-08-20
380,Adam Trautman,Den,170.0,0.0,0.0,2025-08-20
381,Jeremy Ruckert,NYJ,170.0,0.0,0.0,2025-08-20
382,Darrell Henderson Jr.,FA,170.0,0.0,0.0,2025-08-20
383,Brett Maher,FA,170.0,0.0,0.0,2025-08-20
384,Trey Lance,LAC,170.0,0.0,0.0,2025-08-20
385,John Bates,Wsh,170.0,0.0,0.0,2025-08-20
386,Carson Wentz,FA,170.0,0.0,0.0,2025-08-20
387,Kadarius Toney,FA,170.0,0.0,0.0,2025-08-20
388,Demarcus Robinson,SF,170.0,0.0,0.0,2025-08-20
389,Lucky Jackson,Min,170.0,0.0,0.0,2025-08-20
390,Gavin Bartholomew,Min,170.0,0.0,0.0,2025-08-20
391,Drew Lock,Sea,170.0,0.0,0.0,2025-08-20
392,Dameon Pierce,Hou,170.0,0.0,0.0,2025-08-20
393,Matt Prater,FA,170.0,0.0,0.0,2025-08-20
394,Spencer Rattler,NO,170.0,0.0,0.0,2025-08-20
395,Deuce Vaughn,Dal,170.0,0.0,0.0,2025-08-20
396,Mo Alie-Cox,Ind,170.0,0.0,0.0,2025-08-20
397,Boston Scott,FA,170.0,0.0,0.0,2025-08-20
398,Tanner Brown,FA,170.0,0.0,0.0,2025-08-20
399,Kyle Allen,Det,170.0,0.0,0.0,2025-08-20
400,Tyson Bagent,Chi,170.0,0.0,0.0,2025-08-20
451,Drew Sample,Cin,170.0,0.0,0.0,2025-08-20
452,Brayden Narveson,FA,170.0,0.0,0.0,2025-08-20
453,Jalen Reagor,LAC,170.0,0.0,0.0,2025-08-20
454,Chimere Dike,Ten,170.0,0.0,0.0,2025-08-20
455,Bailey Zappe,KC,170.0,0.0,0.0,2025-08-20
456,Jaren Hall,FA,170.0,0.0,0.0,2025-08-20
457,Tyquan Thornton,KC,170.0,0.0,0.0,2025-08-20
458,Patrick Taylor Jr.,SF,170.0,0.0,0.0,2025-08-20
459,Travis Homer,Chi,170.0,0.0,0.0,2025-08-20
460,Tyler Goodson,Ind,170.0,0.0,0.0,2025-08-20
461,Avery Williams,Phi,170.0,0.0,0.0,2025-08-20
462,Robbie Ouzts,Sea,170.0,0.0,0.0,2025-08-20
463,Jermaine Burton,Cin,170.0,0.0,0.0,2025-08-20
464,Jared Wayne,FA,170.0,0.0,0.0,2025-08-20
465,Trent Taylor,SF,170.0,0.0,0.0,2025-08-20
466,Rasheen Ali,Bal,170.0,0.0,0.0,2025-08-20
467,Sterling Shepard,TB,170.0,0.0,0.0,2025-08-20
468,Keith Kirkwood,Bal,170.0,0.0,0.0,2025-08-20
469,KJ Hamler,Buf,170.0,0.0,0.0,2025-08-20
470,Gunner Olszewski,NYG,170.0,0.0,0.0,2025-08-20
471,Henry Pearson,FA,170.0,0.0,0.0,2025-08-20
472,Brittain Brown,Chi,170.0,0.0,0.0,2025-08-20
473,LeQuint Allen Jr.,Jax,170.0,0.0,0.0,2025-08-20
474,Chris Rodriguez Jr.,Wsh,170.0,0.0,0.0,2025-08-20
475,Collin Johnson,LV,170.0,0.0,0.0,2025-08-20
476,Kyle McCord,Phi,170.0,0.0,0.0,2025-08-20
477,Tyler Scott,Chi,170.0,0.0,0.0,2025-08-20
478,Riley Patterson,FA,170.0,0.0,0.0,2025-08-20
479,DeeJay Dallas,Ari,170.0,0.0,0.0,2025-08-20
480,Ameer Abdullah,SF,170.0,0.0,0.0,2025-08-20
481,Tim Jones,Min,170.0,0.0,0.0,2025-08-20
482,Jason Cabinda,FA,170.0,0.0,0.0,2025-08-20
483,Alex Armah,FA,170.0,0.0,0.0,2025-08-20
484,Davis Allen,LAR,170.0,0.0,0.0,2025-08-20
485,Michael Gallup,Wsh,170.0,0.0,0.0,2025-08-20
486,Xavier Gipson,NYJ,170.0,0.0,0.0,2025-08-20
487,Case Keenum,Chi,170.0,0.0,0.0,2025-08-20
